Last,Address,Address2,Address3,City,State,Zip,Country,Phone,Fax,Email,Account No.,Store,Work,Work Phone,Promo,Contact,Salesperson,Sales Last Year,Sales This Year,First Buy,Last Buy,Bill To Account No.,Tax Status,Tax ID,Alt Tax Rate,Belongs To
Airgas Inc,259 N. Radno-Chester Rd,Suite 100,,Radnor,PA,19087,,(610)230-3215,,kailey.nelson@airgas.com,60600,2,,,,,Ken Yanicky,-1227.11,0,3/29/2018,8/13/2020,,,,,Airgas
Airgas Inc - AZ,259 N Radnor-Chester Rd,Suite 100,,Radnor,PA,19087,,,,,60601,2,,,,,Ken Yanicky,0,0,4/14/2018,4/14/2018,60600-2,,,,Airgas
Airgas Inc - CA,259 N Radnor-Chester Rd,Suite 100,,Radnor,PA,19087,,,,,60604,2,,,,,Ken Yanicky,0,0,4/14/2018,4/2/2019,60600-2,,,CA Alameda County,Airgas
Airgas Inc - MN,259 N Radnor-Chester Rd,Suite 100,,Radnor,PA,19087,,,,,60605,2,,,,,Ken Yanicky,0,0,4/14/2018,4/21/2018,60600-2,,,,Airgas
Airgas Inc - OH,259 N Radnor-Chester Rd,Suite 100,,Radnor,PA,19087,,,,,60603,2,,,,,Ken Yanicky,0,0,4/14/2018,5/5/2018,60600-2,,,,Airgas
Airgas Inc - WI,259 N Radnor-Chester Rd,Suite 100,,Radnor,PA,19087,,,,,60856,2,,,,,Ken Yanicky,0,0,4/14/2018,4/24/2018,60600-2,,,,Airgas
Airgas Inc- TX,259 N Radnor-Chester Rd,Suite 100,,Radnork,PA,19087,,,,,60602,2,,,,,Ken Yanicky,0,0,4/14/2018,4/21/2018,60600-2,,,,Airgas
Andromeda Advantage Inc,11-20 37th Avenue,,, Long Island City,NY,11101,,(718)937-5353,,lucian.davidescu@andromeda.nyc,57843,2,,,,Mike Esquivel,Christie,62500.96,80372.91,6/28/2017,7/9/2021,,,,NYS New York City,Andromeda
Andromeda Community Initiative Inc,49-12 31st Place,,,Long Island City,NY,11101,,(929)402-0604,,gregory.stefou@andromeda.nyc,65227,2,,,,Gregory Stefou,Christie,0,3140.02,6/6/2019,7/16/2021,,Exempt,NYST-119-EX 271733,,Andromeda
Barclays,,,,,,,,,,,59039,2,,,,,,0,0,,,,,,,Barclays
Barclays Center,168 39th Street,,,Brooklyn,NY,11232,,(718)923-8400,,jsandoval@barclayscenter.com,41547,2,,,,Jason Sandoval,National - House,118.07,0,9/25/2012,1/3/2020,,Exempt,,NYS New York City,Barclays
Barclays Center/ Security Officer,Attn: Michael Sobieraj,620 Atlantic Ave,,Brooklyn,NY,11217,,(718)923-8400,,bseglobal@accrualify.com,41844,2,,,,,National - House,31089.8,8214.09,9/5/2012,7/28/2021,,,,NYS New York City,Barclays
Barclays Center/Facility Services,"AEG Management Brooklyn, LLC",Attn: Rich Vartigian,620 Atlantic Ave,Brooklyn,NY,11217,,(718)923-8400,,invoices@brooklynse.com,42485,2,,,,,National - House,0,1963.24,10/2/2012,5/28/2021,,Exempt,,NYS New York City,Barclays
Barclays Center/Guest Service Rep.,Attn: Stacy McCoy,620 Atlantic Ave,,Brooklyn,NY,11217,,(718)923-8400,,invoices@brooklynse.com,41328,2,,,,Jason Sandoval,National - House,0,0,9/7/2012,8/7/2019,,Exempt,,NYS New York City,Barclays
Barclays Center/Security Supervisor,Attn: Michael Sobier,620 Atlantic Ave,,Brooklyn,NY,11217,,(718)923-8400,,bseglobal@accrualify.com,41329,2,,,,Jason Sandoval,National - House,1558.75,0,9/7/2012,2/25/2020,,Exempt,,NYS New York City,Barclays
Barclays Center/Usher&Ticket Takers,620 Atlantic Ave,,,Brooklyn,NY,11217,,(718)923-8400,,invoices@brooklynse.com,41331,2,,,,Jason Sandoval,National - House,0,0,9/5/2012,8/20/2018,,Exempt,,NYS New York City,Barclays
Beacon NJ East District - 303-NJ EAST,John Baumgartner - district manager,15 East Union Avenue,,East Rutherford,NJ,7073,,,,john.baumgartner@alliedbuilding.com,62630,2,,,,,Christie,0,0,,,,Exempt,OUT OF STATE,,Beacon
Beacon Sales Acquisition Inc. #025,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,,,,40479,2,,,,,Christie,0,0,5/7/2012,1/30/2018,,,,,Beacon
Beacon Sales Acquisition Inc. #026,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,,,jim.vezina@alliedbuilding.com,39874,2,,,,,Christie,0,0,1/3/2012,7/20/2018,,,,,Beacon
Beacon Sales Acquisition Inc. #043,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,,,,48995,2,,,,,,0,0,,,,Exempt,,,Beacon
Beacon Sales Acquisition Inc. #055,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,(518)489-0147,(518)489-3327,beth.gorke@alliedbuilding.com,40172,2,,,,,Christie,0,0,3/8/2012,2/12/2019,,,,NYS Albany County,Beacon
Beacon Sales Acquisition Inc. #127,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,(323)753-1277,,rick.sasseen@alliedbuilding.com,44181,2,,,,,Christie,0,0,4/29/2013,1/23/2018,,,,CA Los Angeles,Beacon
Beacon Sales Acquisition Inc. #128,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,(562)595-7377,,mark.foley@alliedbuilding.com,43838,2,,,,,Christie,0,0,4/16/2013,1/24/2018,,,,CA Los Angeles - Long Beach,Beacon
Beacon Sales Acquisition Inc. #129,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,,,,46387,2,,,,,Christie,0,0,11/26/2014,1/23/2018,,,,CA Los Angeles,Beacon
Beacon Sales Acquisition Inc. #130,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,(818)781-3280,,denise.cantu@alliedbuilding.com,39723,2,,,,Denise Cantu,Christie,0,0,11/18/2011,1/23/2018,,,,CA Los Angeles,Beacon
Beacon Sales Acquisition Inc. #132,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,,,cathy.westcott@alliedbuilding.com,43226,2,,,,Cathy Westcott,Christie,0,0,12/26/2012,12/5/2018,,,,CA Orange County,Beacon
Beacon Sales Acquisition Inc. #168,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,,,tony.licavoli@alliedbuilding.com,44308,2,,,,,Christie,0,0,6/13/2013,12/7/2018,,,,,Beacon
Beacon Sales Acquisition Inc. #202,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,,,nicole.libbert@alliedbuilding.com,40486,2,,,,,Christie,0,0,5/2/2012,10/10/2018,,Exempt,OOS,,Beacon
Beacon Sales Acquisition Inc. #211,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,(330)425-3359,,,61862,2,,,,Ryan Musgrave,Christie,0,0,8/10/2018,8/10/2018,,Exempt,OUT OF STATE,,Beacon
Beacon Sales Acquisition Inc. #213,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,(330)754-0870,,,61863,2,,,,Rob Martin,Christie,0,0,8/10/2018,8/10/2018,,Exempt,OUT OF STATE,,Beacon
Beacon Sales Acquisition Inc. #220,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,(219)793-1500,(219)793-1600,rob.garza@alliedbuilding.com,39948,2,,,,Rob Garza,Christie,0,0,1/31/2012,9/26/2018,,Exempt,OFS,,Beacon
Beacon Sales Acquisition Inc. #223,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,,,tony.guido@alliedbuilding.com,59951,2,,,,Tony Guido,Christie,0,0,12/1/2017,1/18/2018,,Exempt,OUT OF STATE,,Beacon
Beacon Sales Acquisition Inc. #224,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,,,lorreen.batinic@alliedbuilding.com,48416,2,,,,Lorreen Batinic,Christie,0,0,11/26/2014,2/1/2018,,Exempt,OUT OF STATE,,Beacon
Beacon Sales Acquisition Inc. #231,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,(614)291-3117,,,61864,2,,,,Jeremie Roshon,Christie,0,0,8/10/2018,8/10/2018,,Exempt,OUT OF STATE,,Beacon
Beacon Sales Acquisition Inc. #232,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,(614)503-7360,,,61865,2,,,,Jeremie Roshon,Christie,0,0,8/9/2018,8/9/2018,,Exempt,OUT OF STATE,,Beacon
Beacon Sales Acquisition Inc. #237,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,(419)531-7980,,,40259,2,,,,Chris Grzecki,Christie,0,0,3/20/2012,8/10/2018,,Exempt,OUT OF STATE,,Beacon
Beacon Sales Acquisition Inc. #238,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,(330)622-4173,,,44625,2,,,,Dave Pilkington,Christie,0,0,7/8/2013,8/10/2018,,Exempt,OUT OF STATE(OH),,Beacon
Beacon Sales Acquisition Inc. #239,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,(513)784-9090,,,44939,2,,,,Tom Morrison,Christie,0,0,9/9/2013,8/9/2018,,Exempt,OUT OF STATE (OH),,Beacon
Beacon Sales Acquisition Inc. #262,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,(216)362-1764,,,39715,2,,,,Dave Pilkington,Christie,0,0,12/1/2011,8/10/2018,,Exempt,OUT OF STATE,,Beacon
Beacon Sales Acquisition Inc. #264,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,(614)488-0717,,,40539,2,,,,Nick Dunaway,Christie,0,0,5/14/2012,8/10/2018,,Exempt,OUT OF STATE,,Beacon
Beacon Sales Acquisition Inc. #266,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,(513)942-7663,,,40658,2,,,,Justin Weil,Christie,0,0,6/12/2012,8/10/2018,,Exempt,OUT OF STATE,,Beacon
Beacon Sales Acquisition Inc. #290,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,(859)955-7010,,,61868,2,,,,Tim Carter,Christie,0,0,8/9/2018,8/9/2018,,Exempt,OUT OF STATE,,Beacon
Beacon Sales Acquisition Inc. #291,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,(513)874-6200,,,61866,2,,,,Kyle Anderson,Christie,0,0,8/9/2018,8/9/2018,,Exempt,OUT OF STATE,,Beacon
Beacon Sales Acquisition Inc. #292,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,(937)237-2774,,,61867,2,,,,Ron Cox,Christie,0,0,8/9/2018,8/9/2018,,Exempt,OUT OF STATE,,Beacon
Beacon Sales Acquisition Inc. #362,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,,,michael.botti@alliedbuilding.com,39894,2,,,,,Christie,0,0,1/10/2012,8/7/2019,,Exempt,,,Beacon
Beacon Sales Acquisition Inc. #363,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,,,rarias@feuryimagegroup.com,40181,2,,,,,Christie,0,0,3/5/2012,1/24/2019,,,,NYS Orange County,Beacon
Beacon Sales Acquisition Inc. #364,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,,,,40392,2,,,,,Christie,0,0,4/20/2012,3/7/2019,,Exempt,OUT OF STATE,,Beacon
Beacon Sales Acquisition Inc. #365,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,(201)935-0800,(201)935-3550,meghan.paterson@alliedbuilding.com,39789,2,,,,,Christie,0,0,12/7/2011,7/3/2018,,Exempt,OUT OF STATE,,Beacon
Beacon Sales Acquisition Inc. #366,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,(201)439-1462,,james.williams@alliedbuilding.com,43900,2,,,,,Christie,0,0,4/24/2013,8/22/2018,,Exempt,OUT OF STATE (NJ),,Beacon
Beacon Sales Acquisition Inc. #367,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,,,,40562,2,,,,,Christie,0,0,6/7/2012,8/29/2018,,Exempt,NJ,,Beacon
Beacon Sales Acquisition Inc. #372,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,(732)356-1500,,matt.butler@alliedbuilding.com,40822,2,,,,Matt Bulter,Christie,0,0,6/29/2012,8/2/2018,,Exempt,OUT OF STATE (NJ),,Beacon
Beacon Sales Acquisition Inc. #373,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,,,terence.brennan@alliedbuilding.com,44966,2,,,,,Christie,0,0,9/11/2013,12/18/2018,,Exempt,,,Beacon
Beacon Sales Acquisition Inc. #374,Beacon Roofing Supply,P.O. BOX 3030,Vendor # 205912,McKinney,TX,75070-3030,,,,,39850,2,,,,,Christie,0,0,12/16/2011,12/18/2018,,Exempt,OUT OF STATE,,Beacon
